Timestamp,id,Do you consider yourself a Rust expert?,Are you 18 years or older and able to communicate well in English?,"In this study, you will solve a sequence of debugging tasks in Rust. You are required to think aloud and share your screen for the duration of the 1-hour experiment. Recordings of the study session will be kept encrypted on a Brown-owned file service and seen only by members of the Cognitive Engineering Lab.

Do you consent to these procedures?",What is your current occupation?,How many years total have you been programming?,Are you employed to use Rust?,How many years have you used Rust?,With which other programing languages are you familiar? [C],With which other programing languages are you familiar? [C++],With which other programing languages are you familiar? [Python],With which other programing languages are you familiar? [JavaScript],With which other programing languages are you familiar? [TypeScript],With which other programing languages are you familiar? [Java],With which other programing languages are you familiar? [Scala],With which other programing languages are you familiar? [Swift],With which other programing languages are you familiar? [Lean],With which other programing languages are you familiar? [Haskell],With which other programing languages are you familiar? [OCaml],Indicate which of the following crates (if any) you have used,Is VS Code your primary code editor?,Book a study session by visiting,Have you used async Rust?,A brief quiz!
8/30/2024 15:50:19,11,No,Yes,Yes,Professional Programmer,5,Yes,2.0,No Experience,No Experience,Light Experience,Significant Experience,Significant Experience,No Experience,No Experience,No Experience,No Experience,No Experience,Light Experience,"Axum, Rocket",No,I've booked a time slot and will complete the pre-study instructions,,
8/30/2024 15:53:31,12,No,Yes,Yes,Professional Programmer,3,Yes,1.0,No Experience,No Experience,Light Experience,No Experience,No Experience,Light Experience,No Experience,No Experience,No Experience,No Experience,No Experience,,Yes,I've booked a time slot and will complete the pre-study instructions,,
8/30/2024 15:57:10,13,No,Yes,Yes,Student,6,No,2.0,Light Experience,Significant Experience,Significant Experience,Light Experience,Light Experience,Light Experience,Significant Experience,No Experience,Light Experience,Light Experience,Light Experience,,No,I've booked a time slot and will complete the pre-study instructions,,
8/30/2024 15:59:21,14,No,Yes,Yes,Professional Programmer,2,No,0.5,Light Experience,Light Experience,Significant Experience,Light Experience,No Experience,No Experience,No Experience,No Experience,No Experience,No Experience,No Experience,Bevy,Yes,I've booked a time slot and will complete the pre-study instructions,,
8/30/2024 16:02:52,15,No,Yes,Yes,"Student, Professional Programmer",5,No,1.0,No Experience,No Experience,Light Experience,Significant Experience,Significant Experience,No Experience,No Experience,No Experience,No Experience,No Experience,No Experience,"Axum, Bevy, Diesel, Easy ML",Yes,I'll send Gavin an email to find a time that works for me,,
8/30/2024 16:11:22,16,No,Yes,Yes,Professional Programmer,1,No,1.0,No Experience,No Experience,Light Experience,Light Experience,Light Experience,Significant Experience,No Experience,No Experience,No Experience,No Experience,No Experience,"Axum, Diesel, Rocket",No,I've booked a time slot and will complete the pre-study instructions,,
8/30/2024 16:17:26,17,No,Yes,Yes,unemployed,10,No,1.0,Light Experience,Light Experience,Light Experience,No Experience,No Experience,Light Experience,No Experience,No Experience,No Experience,No Experience,Light Experience,,No,I've booked a time slot and will complete the pre-study instructions,,
8/30/2024 16:25:02,18,No,Yes,Yes,Student,16,No,8.0,Significant Experience,Significant Experience,Significant Experience,Light Experience,No Experience,Light Experience,Light Experience,No Experience,No Experience,Light Experience,No Experience,,No,I've booked a time slot and will complete the pre-study instructions,,
8/30/2024 16:29:24,19,No,Yes,Yes,"Student, Researcher",4,No,2.0,Light Experience,Light Experience,Significant Experience,Light Experience,No Experience,No Experience,No Experience,No Experience,No Experience,No Experience,No Experience,"Axum, Diesel, Rocket",No,I've booked a time slot and will complete the pre-study instructions,,
8/30/2024 16:54:28,20,No,Yes,Yes,Professional Programmer,30,No,4.0,Significant Experience,Significant Experience,No Experience,Light Experience,Significant Experience,No Experience,No Experience,No Experience,No Experience,Significant Experience,No Experience,"Axum, Diesel, Rocket",No,I've booked a time slot and will complete the pre-study instructions,,
8/30/2024 16:59:46,21,No,Yes,Yes,Professional Programmer,5,No,2.0,Significant Experience,Light Experience,Significant Experience,Light Experience,Light Experience,No Experience,No Experience,No Experience,No Experience,No Experience,No Experience,,Yes,I've booked a time slot and will complete the pre-study instructions,,
8/30/2024 17:08:55,22,No,Yes,Yes,Professional Programmer,4,Yes,1.0,Light Experience,Light Experience,Significant Experience,No Experience,No Experience,No Experience,No Experience,No Experience,No Experience,No Experience,No Experience,nAlgebra,Yes,I've booked a time slot and will complete the pre-study instructions,,
8/30/2024 17:16:05,23,No,Yes,Yes,Professional Programmer,8,No,2.0,Significant Experience,Light Experience,No Experience,No Experience,No Experience,Significant Experience,No Experience,No Experience,No Experience,Light Experience,No Experience,,No,I've booked a time slot and will complete the pre-study instructions,,
8/30/2024 17:27:41,24,No,Yes,Yes,"Student, Professional Programmer",4,Yes,1.0,Light Experience,No Experience,Significant Experience,Significant Experience,Significant Experience,Significant Experience,No Experience,Light Experience,No Experience,No Experience,Light Experience,,Yes,I've booked a time slot and will complete the pre-study instructions,,
8/30/2024 17:32:14,25,No,Yes,Yes,Professional Programmer,7,No,3.0,Light Experience,Light Experience,Light Experience,Light Experience,No Experience,Light Experience,No Experience,Light Experience,No Experience,Light Experience,Light Experience,,No,I've booked a time slot and will complete the pre-study instructions,,
9/5/2024 12:13:06,26,No,Yes,Yes,Science Communication,10,No,3.0,Light Experience,Significant Experience,Significant Experience,No Experience,No Experience,Light Experience,No Experience,No Experience,No Experience,No Experience,No Experience,"Bevy, nAlgebra",No,I've booked a time slot and will complete the pre-study instructions,,
9/5/2024 18:24:20,27,No,Yes,Yes,Professional Programmer,11,No,7.0,No Experience,No Experience,No Experience,Significant Experience,Significant Experience,No Experience,No Experience,No Experience,No Experience,No Experience,No Experience,Axum,Yes,I've booked a time slot and will complete the pre-study instructions,,
9/7/2024 17:32:21,28,No,Yes,Yes,Professional Programmer,15,No,6.0,Significant Experience,Light Experience,Significant Experience,No Experience,Light Experience,Significant Experience,Light Experience,No Experience,No Experience,Light Experience,No Experience,"Bevy, Diesel, nAlgebra, Uom",No,I've booked a time slot and will complete the pre-study instructions,,
9/8/2024 19:46:55,29,No,Yes,Yes,Professional Programmer,5,No,0.5,Light Experience,Light Experience,Light Experience,Significant Experience,Light Experience,No Experience,No Experience,Light Experience,No Experience,No Experience,Light Experience,Bevy,No,I've booked a time slot and will complete the pre-study instructions,,
9/12/2024 0:19:26,30,No,Yes,Yes,Student,8,Yes,3.0,Light Experience,Light Experience,Light Experience,Significant Experience,Light Experience,Light Experience,Significant Experience,No Experience,No Experience,Light Experience,Light Experience,Rocket,Yes,I've booked a time slot and will complete the pre-study instructions,,
9/18/2024 7:35:26,31,No,Yes,Yes,Student,3,No,1.0,Significant Experience,Light Experience,Significant Experience,Light Experience,Light Experience,Light Experience,Light Experience,No Experience,No Experience,Light Experience,No Experience,,Yes,I've booked a time slot and will complete the pre-study instructions,Yes,
9/18/2024 7:37:05,32,No,Yes,Yes,Professional Programmer,8,No,1.0,Light Experience,Light Experience,No Experience,Significant Experience,Significant Experience,No Experience,No Experience,No Experience,No Experience,No Experience,No Experience,,No,I've booked a time slot and will complete the pre-study instructions,No,
9/18/2024 7:37:29,33,No,Yes,Yes,Researcher,1,No,0.3,Light Experience,No Experience,Significant Experience,No Experience,No Experience,No Experience,No Experience,No Experience,No Experience,No Experience,No Experience,,Yes,I've booked a time slot and will complete the pre-study instructions,No,
9/18/2024 7:44:33,34,No,Yes,Yes,Student,3,No,1.0,Light Experience,Light Experience,Light Experience,No Experience,No Experience,Light Experience,Light Experience,No Experience,No Experience,No Experience,No Experience,Bevy,Yes,I'll send Gavin an email to find a time that works for me,No,
9/18/2024 7:45:35,35,No,Yes,Yes,Student,1,No,0.25,No Experience,Light Experience,No Experience,Light Experience,Light Experience,No Experience,No Experience,No Experience,No Experience,No Experience,No Experience,"Bevy, nAlgebra",No,I've booked a time slot and will complete the pre-study instructions,No,
9/18/2024 7:57:15,36,No,Yes,Yes,Professional Programmer,3,No,2.0,Light Experience,Light Experience,Significant Experience,Light Experience,No Experience,Significant Experience,No Experience,No Experience,No Experience,Light Experience,No Experience,Rocket,Yes,I'll send Gavin an email to find a time that works for me,No,
9/18/2024 8:01:13,37,No,Yes,Yes,Professional Programmer,15,No,1.0,No Experience,Light Experience,Significant Experience,Significant Experience,Significant Experience,Light Experience,No Experience,No Experience,No Experience,No Experience,No Experience,,Yes,I'll send Gavin an email to find a time that works for me,Yes,
9/18/2024 8:02:43,38,No,Yes,Yes,Professional Programmer,5,No,3.0,Light Experience,Light Experience,Light Experience,Light Experience,Light Experience,Significant Experience,No Experience,No Experience,No Experience,Light Experience,No Experience,"Axum, Bevy, Chumsky, Rocket",No,I've booked a time slot and will complete the pre-study instructions,Yes,
9/18/2024 8:02:44,39,No,Yes,Yes,"Student, Researcher, Professional Programmer",6,No,1.0,Light Experience,Light Experience,Light Experience,Light Experience,Light Experience,Significant Experience,No Experience,No Experience,No Experience,No Experience,No Experience,"Axum, Rocket",No,I've booked a time slot and will complete the pre-study instructions,Yes,
9/18/2024 8:04:46,40,No,Yes,Yes,Student,1,No,1.0,Light Experience,No Experience,Significant Experience,Significant Experience,Significant Experience,No Experience,No Experience,No Experience,No Experience,No Experience,No Experience,Diesel,Yes,I've booked a time slot and will complete the pre-study instructions,No,
9/18/2024 8:07:18,41,No,Yes,Yes,Professor,16,No,2.0,Significant Experience,Significant Experience,Significant Experience,Significant Experience,Significant Experience,Significant Experience,Light Experience,No Experience,Significant Experience,Significant Experience,Significant Experience,,Yes,I've booked a time slot and will complete the pre-study instructions,No,
9/18/2024 8:10:51,42,No,Yes,Yes,Professional Programmer,14,No,1.0,No Experience,Light Experience,Light Experience,Significant Experience,Light Experience,Light Experience,Light Experience,No Experience,No Experience,No Experience,No Experience,,Yes,I've booked a time slot and will complete the pre-study instructions,No,
9/18/2024 8:25:40,43,No,Yes,Yes,Professional Programmer,3,Yes,1.0,Light Experience,Significant Experience,Light Experience,Light Experience,Light Experience,No Experience,No Experience,No Experience,No Experience,Light Experience,No Experience,"Axum, Diesel",Yes,I've booked a time slot and will complete the pre-study instructions,Yes,
9/18/2024 8:30:49,44,No,Yes,Yes,Professional Programmer,8,No,3.0,Light Experience,Light Experience,No Experience,Light Experience,Light Experience,Significant Experience,Significant Experience,No Experience,No Experience,Light Experience,Light Experience,"Axum, Bevy, Chumsky, Diesel, Rocket",No,I've booked a time slot and will complete the pre-study instructions,Yes,
9/18/2024 8:30:50,45,No,Yes,Yes,Professional Programmer,20,Yes,1.0,Significant Experience,Significant Experience,Light Experience,Light Experience,Light Experience,Significant Experience,No Experience,No Experience,No Experience,No Experience,No Experience,,Yes,I've booked a time slot and will complete the pre-study instructions,Yes,
9/18/2024 8:34:55,46,No,Yes,Yes,Looking for work.,30,No,6.0,Significant Experience,Significant Experience,Light Experience,No Experience,No Experience,Light Experience,No Experience,No Experience,No Experience,Light Experience,No Experience,nAlgebra,No,I've booked a time slot and will complete the pre-study instructions,No,
9/18/2024 8:55:15,47,No,Yes,Yes,Professional Programmer,25,No,1.0,Light Experience,No Experience,Significant Experience,No Experience,No Experience,Significant Experience,No Experience,No Experience,No Experience,No Experience,No Experience,,Yes,I've booked a time slot and will complete the pre-study instructions,Yes,
9/18/2024 9:22:57,48,No,Yes,Yes,Cyber Security Engineer,8,No,1.5,Light Experience,Light Experience,Significant Experience,Light Experience,No Experience,Light Experience,No Experience,No Experience,No Experience,No Experience,No Experience,"Axum, Diesel, Rocket",Yes,I've booked a time slot and will complete the pre-study instructions,Yes,
9/18/2024 9:25:12,49,No,Yes,Yes,Professional Programmer,3,No,1.0,Light Experience,No Experience,Light Experience,Significant Experience,Significant Experience,No Experience,No Experience,No Experience,No Experience,No Experience,No Experience,Bevy,No,I've booked a time slot and will complete the pre-study instructions,Yes,
9/18/2024 9:47:07,50,No,Yes,Yes,Professional Programmer,10,Yes,2.0,Significant Experience,Light Experience,Light Experience,Light Experience,No Experience,Light Experience,Light Experience,No Experience,No Experience,Light Experience,No Experience,,Yes,I've booked a time slot and will complete the pre-study instructions,No,
9/18/2024 9:51:14,51,No,Yes,Yes,Professional Programmer,1,No,1.0,Significant Experience,Light Experience,Light Experience,No Experience,No Experience,Light Experience,No Experience,No Experience,No Experience,No Experience,No Experience,,Yes,I've booked a time slot and will complete the pre-study instructions,Yes,
9/18/2024 10:29:45,52,No,Yes,Yes,Professional Programmer,15,No,2.0,Significant Experience,Significant Experience,Significant Experience,Light Experience,Light Experience,Light Experience,No Experience,No Experience,No Experience,Light Experience,No Experience,Rocket,Yes,I've booked a time slot and will complete the pre-study instructions,Yes,
9/18/2024 10:42:33,53,No,Yes,Yes,Student,2,No,1.0,Light Experience,Light Experience,No Experience,Light Experience,Light Experience,Light Experience,No Experience,No Experience,No Experience,No Experience,No Experience,Bevy,Yes,I've booked a time slot and will complete the pre-study instructions,No,
9/18/2024 10:59:02,54,No,No,,,,,,,,,,,,,,,,,,,,,
9/18/2024 11:07:30,55,No,Yes,Yes,project manager,2,No,2.0,Significant Experience,Light Experience,Significant Experience,Light Experience,Light Experience,No Experience,No Experience,No Experience,No Experience,No Experience,No Experience,"Axum, Diesel",Yes,I've booked a time slot and will complete the pre-study instructions,Yes,
9/24/2024 9:40:10,56,Yes,Yes,Yes,Professional Programmer,12,Yes,1.0,No Experience,Significant Experience,Significant Experience,Significant Experience,Significant Experience,Light Experience,No Experience,No Experience,No Experience,No Experience,No Experience,Diesel,Yes,I'll send Gavin an email to find a time that works for both of us,Yes,You can implement an external trait for an external type
9/24/2024 11:06:15,57,Yes,Yes,Yes,Professional Programmer,16,Yes,5.0,Significant Experience,Significant Experience,Significant Experience,Significant Experience,Significant Experience,Light Experience,No Experience,Light Experience,No Experience,No Experience,No Experience,Diesel,Yes,I've booked a time slot and will complete the pre-study instructions,Yes,You can implement an external trait for an external type
9/24/2024 11:16:32,58,Yes,Yes,Yes,"Researcher, Professional Programmer",21,Yes,2.0,Significant Experience,Significant Experience,Light Experience,Light Experience,Light Experience,Light Experience,No Experience,Light Experience,No Experience,Light Experience,No Experience,"Axum, Diesel, Rocket",Yes,I've booked a time slot and will complete the pre-study instructions,Yes,You can implement an external trait for an external type
9/24/2024 11:22:12,59,Yes,Yes,Yes,Professional Programmer,12,Yes,8.0,Light Experience,Light Experience,Light Experience,No Experience,No Experience,Significant Experience,Light Experience,No Experience,No Experience,Light Experience,Light Experience,,Yes,I've booked a time slot and will complete the pre-study instructions,Yes,You can implement an external trait for an external type
9/24/2024 12:19:48,60,Yes,Yes,Yes,Professional Programmer,14,No,9.0,Light Experience,Light Experience,Light Experience,Significant Experience,Light Experience,Light Experience,Light Experience,Light Experience,No Experience,Light Experience,No Experience,"Axum, Rocket",No,I've booked a time slot and will complete the pre-study instructions,Yes,You can implement an external trait for an external type
9/24/2024 12:19:56,61,Yes,Yes,Yes,"Student, Researcher",15,Yes,5.0,Light Experience,Significant Experience,Significant Experience,Significant Experience,Significant Experience,Light Experience,Light Experience,Light Experience,Light Experience,Light Experience,Light Experience,"Axum, Diesel",Yes,I've booked a time slot and will complete the pre-study instructions,Yes,You can implement an external trait for an external type
9/24/2024 12:41:43,62,Yes,Yes,Yes,Professional Programmer,14,Yes,4.0,Light Experience,Light Experience,Light Experience,Light Experience,Light Experience,Significant Experience,No Experience,No Experience,No Experience,No Experience,No Experience,,No,I've booked a time slot and will complete the pre-study instructions,Yes,You can implement an external trait for an external type
9/24/2024 13:26:39,63,Yes,Yes,Yes,Student,6,No,3.0,Light Experience,Light Experience,Significant Experience,Significant Experience,Significant Experience,Significant Experience,No Experience,No Experience,No Experience,No Experience,No Experience,"Axum, Bevy, nAlgebra, Rocket",Yes,I've booked a time slot and will complete the pre-study instructions,Yes,You can implement an external trait for an external type
9/24/2024 13:35:00,64,Yes,Yes,Yes,Professional Programmer,12,Yes,3.0,Light Experience,No Experience,Significant Experience,Light Experience,No Experience,Light Experience,No Experience,No Experience,Light Experience,No Experience,No Experience,Axum,Yes,I've booked a time slot and will complete the pre-study instructions,Yes,You can implement an external trait for an external type
9/24/2024 15:10:38,65,Yes,Yes,Yes,Professional Programmer,15,Yes,6.0,Significant Experience,Significant Experience,Light Experience,Significant Experience,Light Experience,Light Experience,No Experience,No Experience,No Experience,No Experience,No Experience,"Axum, Bevy, nAlgebra, Rocket",Yes,I've booked a time slot and will complete the pre-study instructions,Yes,You can implement an external trait for an external type
9/24/2024 15:26:51,66,Yes,Yes,Yes,Professional Programmer,20,Yes,7.0,Light Experience,Significant Experience,Significant Experience,Significant Experience,Significant Experience,Light Experience,No Experience,Light Experience,No Experience,Light Experience,No Experience,"Axum, Bevy, Uom",Yes,I've booked a time slot and will complete the pre-study instructions,Yes,You can implement an external trait for an external type
9/24/2024 15:30:38,67,Yes,Yes,Yes,Professional Programmer,11,Yes,9.0,No Experience,No Experience,Light Experience,Light Experience,Light Experience,Significant Experience,Significant Experience,Light Experience,Light Experience,Light Experience,Light Experience,Axum,Yes,I've booked a time slot and will complete the pre-study instructions,Yes,You can implement an external trait for an external type
9/24/2024 16:27:24,68,Yes,Yes,Yes,Professional Programmer,20,Yes,8.0,Light Experience,Light Experience,Significant Experience,Light Experience,Light Experience,No Experience,No Experience,No Experience,No Experience,No Experience,No Experience,Axum,Yes,I'll send Gavin an email to find a time that works for both of us,Yes,You can implement an external trait for an external type
9/25/2024 2:48:28,69,Yes,Yes,Yes,Professional Programmer,8,Yes,5.0,Light Experience,Significant Experience,Light Experience,Light Experience,No Experience,Light Experience,Light Experience,No Experience,No Experience,Significant Experience,Light Experience,"Bevy, Diesel, nAlgebra, Rocket",Yes,I'll send Gavin an email to find a time that works for both of us,Yes,You can implement an external trait for an external type
9/25/2024 5:55:30,70,Yes,Yes,Yes,"Researcher, PhD student",18,No,5.0,Significant Experience,Light Experience,Light Experience,Significant Experience,Significant Experience,Significant Experience,Light Experience,Light Experience,No Experience,Significant Experience,Light Experience,,No,I've booked a time slot and will complete the pre-study instructions,Yes,You can implement an external trait for an external type
9/25/2024 6:23:07,71,Yes,Yes,Yes,Professional Programmer,18,Yes,4.0,Significant Experience,Light Experience,Significant Experience,Light Experience,No Experience,Significant Experience,No Experience,No Experience,No Experience,Light Experience,Light Experience,"Axum, Diesel",No,I've booked a time slot and will complete the pre-study instructions,Yes,You can implement an external trait for an external type
9/25/2024 6:40:57,72,Yes,Yes,Yes,Professional Programmer,20,Yes,7.0,Significant Experience,Light Experience,Significant Experience,Light Experience,No Experience,Light Experience,No Experience,No Experience,No Experience,Light Experience,No Experience,"Axum, Bevy, nAlgebra, Uom",No,I've booked a time slot and will complete the pre-study instructions,Yes,You can implement an external trait for an external type
9/25/2024 7:16:45,73,Yes,Yes,Yes,Professional Programmer,18,Yes,2.0,No Experience,No Experience,Significant Experience,Light Experience,No Experience,Light Experience,No Experience,No Experience,No Experience,No Experience,No Experience,"Axum, Diesel, Rocket",Yes,I've booked a time slot and will complete the pre-study instructions,Yes,You can implement an external trait for an external type
9/25/2024 8:59:09,74,Yes,Yes,Yes,Systems Software Consultant and training manager,39,Yes,8.0,Light Experience,Light Experience,Light Experience,No Experience,No Experience,No Experience,No Experience,No Experience,No Experience,No Experience,No Experience,"Axum, Diesel, Rocket",Yes,I've booked a time slot and will complete the pre-study instructions,Yes,You can implement an external trait for an external type
9/25/2024 10:26:26,75,Yes,Yes,Yes,Professional Programmer,7,Yes,1.5,Light Experience,Light Experience,Significant Experience,Light Experience,No Experience,Significant Experience,Light Experience,No Experience,No Experience,No Experience,No Experience,Axum,No,I've booked a time slot and will complete the pre-study instructions,Yes,You can implement an external trait for an external type
